site_id,name,protocuneiform,uruk_iv,uruk_iii,uruk_total,jemdet_nasr,uqair,larsa,other,total
ESH,Eshnunna,AB + NUN,13,14,27,2,0,0,12,41
NSR,? [Jemdet Nasr],"AB + UB, NI + RU",14,11,25,76,1,3,25,128
LAR,Larsa,"ARARMA, U4 + AB",4,36,40,9,1,1,16,67
ZAB,Zabalam,"ERIN + MUSZ3, MUSZ3 + AB, ZABALAM",3,45,48,1,0,0,3,52
ERI,Eridu,KI + NUN,2,19,21,5,0,0,5,31
NGN,Nina,KU6 + AB,0,4,4,0,2,1,10,17
UQA,Urum? [Tell Uqair],KU6 + UR2 + RAD,0,0,0,0,18,0,1,19
ADB,Adab,U4 + NUN,9,15,24,4,0,0,3,31
URI,Ur,"SZESZ, URI5",13,9,22,0,0,1,4,27
SUR,Shuruppak,SZURUPPAK,3,40,43,0,0,0,11,54
JOK,Umma?,UH3,4,11,45,0,0,0,5,20
URU,Uruk,UNUG,77,80,157,15,1,1,46,220
